id	text	label
10035571	সব মুক্তিযুদ্ধা মুক্তিযুদ্ধ নিয়ে চাপাবাজী করে আমাদের গ্রামের একজন চাচা মুক্তিযুদ্ধের সময় কিভাবে যেনো উনার ডান হাতে গুলি লাগে পরে উনি কমান্ডার হয়ে যান আমার এলাকার মানুষ বলছে উনি মুক্তিযুদ্ধ করেন নি জাস্ট গুলি লাগায় মুক্তিযুদ্ধা হয়েগেছেন বেচারারে নিয়ে আমরা মজা করে জিগ্যেস করতাম চাচা কিভাবে যুদ্ধ করছ বেলতো মজা পেতাম কিন্তু ফজা পাগলের মতো উনি ছিলেন না উনি বলতেন আমার এলাকার সন্তান তোরা যে যেকোন দল কর আমার সমস্যা নাই যে দল ক্ষমতায় আসুক আমার সমস্যা নাই উনি বলতেন খালেদা আসলে আমাকে সম্মান করবে হাসিনা আসলেও আমাকে সম্মান করবে মুক্তিযুদ্ধ নিয়ে উনি বাড়াবাড়ি করতেন না উনি মারা গেছেন সৃষ্টিকর্তা উনাকে জান্নাতুল ফেরদৌসের মেহমান করে রাখুক	Abusive
10035572	ফজা পাগলারে একটা গণপিটুনি দিলে ভালো হতো	Abusive
10035573	তড়াইল না তাড়াইল	None
10035574	এই জন্য বলি চোরের মায়ের বড় গলা	Abusive
10035575	হামা কারে দাদা লয় এডে	None
10035576	ফজা পাগলা	Abusive
10035577	তুই সালা বাটপারউল্টা পাল্টা বুঝ দিস	Profane
10035578	দাদা জাউরার জাউরা সটিপিকেট দিলেন না	Profane
10035579	ফজা পাগলানবেল ফুরুসকার পাওয়ার আশা আছে এখনো মুক্তি যুদ্ধার ভাতা যা নিছেন হিসাব দিতে হবে	Abusive
10035580	ফজা পাগলা রাজাকার আরেকটা গামছা পাগলা	Abusive
10035581	দাদা মানেই আগুন	None
10035582	চেতনা ব্যবসায়ী ফজা পাগলা একটা গল্প বলল শালা আসলেই একটা পাগল	Abusive
10035583	ফজু পাগলরে পাবনাতে পাঠানসে দোকাবাজ তারে অসত্য বলার জন্য আইনিভাবে মামালা করা দরকার	Abusive
10035584	দাদা এই বিডিও টা যত বারই দেখি তত বারই মজা পাই  ওই নাকি মুইত্তা যুদ্ধ করছে	Abusive
10035585	এজন্যই বলে খালি কলস বাজে বেশি	None
10035586	ভুয়া মুক্তিযুদ্ধা বলেই ফজা পাগলের এত গলাবাজি চেতনার ধান্দাবাজি	Abusive
10035587	কত বড় চাপা ফজার	Abusive
10035588	ভুয়া মুক্তিযোদ্ধারা এতদিন ধরে চেতনার বুলি আওড়াতে আওড়াতে দেশকে ধ্বংসের পথে ঠেলে দিয়েছে আমরা নতুন প্রজন্মের মানুষ হিসেবে কখনোই এ ধরনের মুক্তিযোদ্ধাদের বিশ্বাস করি না শুভেচ্ছা দাদা আপনি চেতনার নামে এই ভণ্ডামিকে যথার্থভাবে প্রকাশ করেছেন	None
10035589	মুক্তিযুদ্ধের চেতনা মনেপ্রাণে ধারণ করা এক জিনিস আর মুক্তিযুদ্ধের চেতনা ও ভাবাবেগকে পুঁজি করে ভণ্ডামির রাজনীতি আরেক জিনিস মুক্তিযুদ্ধের চেতনা ও ভাবাবেগ কে কাজে লাগিয়ে অপরাজনীতিবিদদের নিজ স্বার্থসিদ্ধ লাভ ও সাধারণ মানুষকে বিভ্রান্ত করার অপরাজনীতি নিষিদ্ধ করা হোক	Political Hate
10035590	শুভেচ্ছা সঠিকভাবে তুলে ধরার চেষ্টা করার জন্য শুভেচ্ছা	None
10035591	পিনাকী দাদাকে অনেক অনেক কৃতজ্ঞতা সত্য উদঘাটন করা জন্য	None
10035592	পরের গপ্পো টুকু দেখে হাসতে হাসতে আমি শেষ	None
10035593	মজা আর মজা অসাধারণ মজা	None
10035594	কিরে পিনাকী তোর বাবা হিন্দুস্তান তো তিন দেশের প্রধানের সঙ্গে বসে গেল আর তোর মায়ের প্রেমিক পাকিস্তান তো দাঁড়ায় দাঁড়ায় দেখল এক বছর পার হয়ে গেল ভারতের সাথে করা চুক্তিগুলো তো একটাও নষ্ট করতে পারলি না ওই দিল্লির না ঢাকা বাঙালি এখন ঘরে ঘরে ইলিশ খায় সংবাদ নিছিস	Abusive
10035595	সত্যি দাদা আপনি একটা মাল অসাধারণ লাভ ইউ দাদা	None
10035596	হেতে কি কাউয়া কাদেরের ভাই নাকিচেহারা ও কথার স্টাইল একই	None
10035597	পিনাকী ভট্টাচার্য দাদাকে আন্তরিক কৃতজ্ঞতা জানাচ্ছি	None
10035598	আবু তাহের ঠাকুর এটা কি	None
10035599	হা হা হা	None
10035600	ফজা পাগলা ভুয়া	Abusive
10035601	কোন সত্তিকারের মুক্তিযুদ্ধা এত বড় বড় কথা বলে না ফজলু পাগলা অসংখ্য বড় বড় কথা বলছে তার মানে ভুয়া মুক্তিযোদ্ধা	Abusive
10035602	যারা জীবন বাজি রেখে আগস্ট সফল করেছে তারা দেশের জন্য করেনাই তারা ক্ষমতার লোভে করেছে	None
10035603	আপনারা যা বলেন সবেই সত্য বাকী সবেই অসত্য তাইনা অপেক্ষা করেন সব সত্য উন্মোচন হবে	None
10035604	এইরকম হাজারো ভুয়া মুক্তিযোদ্ধা আছে তাদেরকে ধরতে হবে	None
10035605	দাদা অসাধারণ সত্যি তথ্য তুলে ধরার জন্য অসংখ্য কৃতজ্ঞতা দোয়া ও ভালবাসা রইল	None
10035606	পিনাকি দাদা জিন্দাবাদ	None
10035607	পিনিকে দাদা বর্তমান প্রেক্ষাপট নিয়ে কথা বলেন এস এম ফরহাদ আসলেই কি ছাত্রলীগ ছিল	Political Hate
10035608	ফজা পাগলা জীবন টা তেনা তেনা হয়ে গেছে	Abusive
10035609	নাস্তিক ফজু পাগলা অসত্য বাদীকে উচিত শিক্ষা দেওয়া হোক	Religious Hate
10035610	হে বাঙ্গালী জাতি ফজা পাগলার বিরুদ্ধে চূড়ান্ত একশন নেওয়ার সময় হয়ে গেছে সবাই সমবেত হয়ে তাকে সফলতা বাংলা করে দাও আজকের পর আর কোথাও সে যেন উঁচু আওয়াজে কথা বলতে না পারে এবং তার চেহারা দেখাতে না পারে সেই ব্যবস্থা করো	None
10035611	যার মা খায়কি তার নাম পিনাকী	None
10035612	ছাতল পাড়ে এই যুদ্ধই হয়নি	None
10035613	দাদা মানে টান টান উত্তেজনা নতুন কিছু	None
10035614	মুক্তিযুদ্ধের কোটায় পাশ করাইয়া দেন দাদা	None
10035615	ঠিকই বলেছেন দাদা যারা যুদ্ধ নিয়ে বেশি হাউকাউ করে তারা সবগুলা ভুয়া মুক্তিযোদ্ধা	Abusive
10035616	দাদা আজকে সকাল মিনিট এ নীলফামারী ইপিজেড এ আন্দোলনে চলা কালে সেনাবাহিনী এসে নির্মম ভাবে পাঁচ জন কে গুলি করেছে তাঁর মধ্য একজন জায়গাতেই মারা গেছে  আমার কাছ হাসপাতালের ধারণ করা ভিডিও আছ	None
10035617	ডাউকি এখনো ভারতের অংশ সে ভারতে বসে বাংলাদেশের শত্রুদের বিপক্ষে যুদ্ধ করেছে আর আমরা ইতিহাস পড়লাম রুমিরা ভারত থেকে গেরিলা ট্রেনিং নিয়ে জান বাজি রেখে ঢাকায় এসে পাক বাহিনীর বিরুদ্ধে যুদ্ধ করেছে আর ফজুদা ভারতে বসে যুদ্ধ করেছে আর উনার নাম শুনলে রাজাকার পালাইতো ওইদিকে কর্নেল তাহেরজিয়াউর রহমান এমএজি উসমানী উনারা বসে বসে ফজুদের যুদ্ধ দেখেছে জাস্ট	None
10035618	মুক্তিযুদ্ধের চেতনা ব্যাবসা বন্ধ করতে হবে	None
10035619	আমি অধির আগ্রহে অপেক্ষা করছিলাম দাদা এই পাগলটা কে কখন ধোলাই দিবে	Abusive
10035620	ঐ ছাগল কি জানে এল এম জি দিয়ে ইষ্টিমারের লোহার পাত ভেদ করা অসম্ভব কারণ ১০০ মিটার দূর থেকে লোহার পাতের ছেদন ক্ষমতা এল এম জির ০০২ মিলি তাই পিনাকী দাদা সত্য বলেছেন	Abusive
10035621	আমাদের ময়মনসিংহ ফুলবাড়িয়া উপজেলার কালাদহ ইউনিয়ন এর টোন্ডা কদ্দুও ভুয়া মুক্তি যোদ্ধা	None
10035622	আরে দাদু পাকিস্তানের সাথে কি যুদ্ধ করে বাংলাদেশ স্বাধীন হয়েছে নাকিকেউ যুদ্ধ করে নাইশুধু দেশে একটা গন্ডগোল করেছিলো শেখ মুজিবের লোকজন এমনি এমনি পাকিস্তানের সেনাবাহিনী আত্মসমর্পণ করে বাংলাদেশের স্বাধীনতা মেনে নিয়ে চলে গেছে	None
10035623	ফুজু পাগলা দেখি হাসিনার মত অসত্য কথা নিখুঁত ভাবে বলতে পারে	Abusive
10035624	মুজিব বাহিনীর একজন ও যুদ্ধ করেনি	None
10035625	দাদাকে অসংখ্য কৃতজ্ঞতা দাদার তদন্ত অনুযায়ী ফজলুর রহমান মুক্তিযুদ্ধ নিয়ে ভুয়া তথ্য বর্ণনাকারী প্রতিপন্ন হওয়ায় উনাকে বিচারের আওতায় নিয়ে আসার জোর দাবি জানাচ্ছি	None
10035626	দাদা আপনার অপেক্ষায় ছিলাম কৃতজ্ঞতা	None
10035627	স্যালুট বীর মুক্তিযোদ্ধা ফজলুর রহমান	None
10035628	এত ভূয়া ফজু	None
10035629	তাইতো বোলি এতো ফালতু একটা লোক আমাদের বীর মুক্তিযোদ্ধা হয় কি ভাবে	Abusive
10035630	আমি অপেক্ষায় আছি	None
10035631	ফজু পাগলার কথায় বুঝা যায় সে ভূয়া মুক্তিযোদ্ধা সে আড়াইশো পোলাপানদের ট্রেনিং দিছে কিন্তু তারা ছাত্র দের একজন ও বেঁচে নাই নাই আর সে বাইচ্চা রয়েছে	Profane
10035632	আজ ফজাকে জয়বাংলা করা হল	None
10035633	দাদা বাংলাদেশের বেইমানদেরলেঙটা করে দিতে হবে	Abusive
10035634	দাদা ফজা পাগলা ভালভাবেই মুখস্ত করে এসেছে কারন সে ব্যরিস্টার মিথ্য না বললে যাদের পেটের ভাত হজম হয় না কে কে এক মত	Abusive
10035635	দাদা কথা কামলকে নিয়ে একটা এপিসোড চাই কথা কামালকে জয় বাংলা করতে হবে	None
10035636	ফজু পাগলা রাজনীতিবিদ না হয়ে কবি হলে ভালো হতো	Abusive
10035637	ফজা পাগলাকে জয় বাংলা করে দেওয়ার জন্য অসংখ্য কৃতজ্ঞতা দাদা	None
10035638	এই আগের মতন পাগল ছাগল দিয়ে কি দেশ চলবো	Abusive
10035639	জুলাইয়ে মুক্তির পথের অগ্রনায়ক আপনি দাদা আপনার দিকনির্দেশনা আমাদের শক্তি জুগিয়েছে সাধারণ মানুষ দেশ নিয়ে সচেতন হচ্ছে; রাজনীতির বিষয়গুলো বুজতেছে ভালো আপনার প্রতি পিনাকি দাদা	None
10035640	রাজাকারের বাংলায় মুক্তিযোদ্ধাদের ঠাঁই নাই	Abusive
10035641	ফজু পাগলার মতো দেশে একজন মুক্তিযোদ্ধাও খুঁজে পাওয়া যাবেনা যে সারাক্ষণ সবখানে স্বয়ং মুক্তিযোদ্ধা মুক্তিযোদ্ধা বলে প্রচার করে ফজু পাগলার কথাতে মনে হয় সেই দেশের একমাত্র মুক্তিযোদ্ধা এজাতীয় পাগল ছাগলের মতো ভন্ড অসত্যবাদী বিএনপির চেয়ারপার্সনের উপদেষ্টা হওয়ার যোগ্যতা পায় কিসের ভিত্তিতে	Abusive
10035642	ফজা পাগলা এ দেশের মুক্তি যুদ্ধ কে নিয়ে চিটারিবাটপারি  ধ্ন্দা বাজি  মস্কারা করেছে  সে রাষ্ট্রদ্রোহি কাজ করেছে  তাকে দ্রুত গ্রেফতার করে আইনের আওতায় এনে ফাসি দাবি করছি	Abusive
10035643	এ হালা আরেক কাউয়া	Profane
10035644	ফজু পাগলা ভূয়া	Abusive
10035645	দাদা মনটা খুবই খারাপ ছিলো আপনার কথা শুনে রুহুটা আনন্দ ও খুশিতে ভরে গেল দারুণ মজা পেয়েছি ফজু পাগলা বিষ ও দড়ি ছারাই সুইসাইড করবে	None
10035646	৭১ এ মুক্তিযু্দ্বে সরাসরি যুদ্ব করেছে আর্মি এবং বিডিআর নিয়ে গঠিত মুক্তি বাহিনী সাধারন জনতার অধিকাংশই ভারতে অবস্থান করে এবং ভারতের কাছে পাক বাহিনী হেরে যাওয়ার অবস্থায় ঐ সাধারন বাহিনী দেশে প্রবেশ করে লম্বাচুল ওয়ালা মুক্তিযোদ্ধা হিসাবে	None
10035647	রাইট একমত কৃতজ্ঞতা জানাই আপনাকে দেশবাসীর পক্ষ থেকে প্রিয় সাংবাদিক সাহেব	None
10035648	ফজলু পাগল টায় মুক্তি যোদ্ধা নামের কলংক এবং কুলাংগার এই অমানুষ টায়	Abusive
10035649	পিনাকি এ যুগের গুগল সব জান্তা সমসের সে যা বলবে ৫৫ বছর আগের পেপার কাটিং নিউজ এগুলি জনগনকে বোকা বামানো ছারা কিছুই নাই এভাবে চরিত্র হনন করে সে কি বুজাতে চায়	Abusive
10035650	স্বৈরাচারী শেখ হাসিনা তার বাপ বাংলাদেশ পাকিস্তানের বিরুদ্ধে একাই যুদ্ধ করেছেরক্ত দিয়েছি আরো দেবো এদেশের মানুষকে মুক্তি করে ছাড়বোএখন প্রশ্ন হল একাত্তরে কয় ফোটা রক্ত দিয়েছিল সে না পালিয়ে ছিল যুদ্ধের সময় ফজা পাগলা শেখ মুজিবুরের মত ওইও একাই দেশ স্বাধীন করেছে কোন মানুষ গাঞ্জা খাইলেও এতটা অসত্য কথা কখনো কেউ বলতে পারে না গত ১৫১৬ বছরে প্রকৃত মুক্তিযোদ্ধা তাদের টাকা পয়সা স্বৈরাচার দলের নেতারা যারা একাত্তরের যুদ্ধের কোন ধরনের অবদান ছিলনা তারা ৭১ নিয়ে অনেক সুবিধা ভোগ করেছে যেটা আমাদের বাংলাদেশের মেধাবী ছাত্রদের জন্য আমাদের দেশ ১৭ বছর পিছিয়ে গেছে এই ব্যাপারে সুষ্ঠু তদন্তের মাধ্যমে ওইসব ভুয়া মুক্তিযোদ্ধা তাদের সবাইকে বিচারের আইত্তে আনতে হবে এবং আমাদের জনগণের যত টাকা খেয়েছে সব টাকা মুখে হাত ভরে পেট থেকে বাইর করে নিতে হবে এটাই একমাত্র বিকল্প রাস্তারাজশাহী মুক্তিযোদ্ধার ৭নম্বর সেক্টর কমান্ডার কর্নেল উনি আমার চাচা আর আমার আব্বা বাংলাদেশ বিমান বাহিনীর অফিসার রাঙ্কে ছিলেন আমার চাচা রাজশাহী সাত নম্বর সেক্টরে কমান্ডার হওয়ার কারণে আমার আব্বাকে পাকিস্তানের জেলখানায় অনেকদিন থাকতে হয়েছে আমার চাচা উনি তিনবার নিজে ভোট দিন নে উপর মহল থেকে পুলিশের মাধ্যমে লিখিতভাবে বাসাতে কাগজ পাঠানো হয় কেন ভোট দেয়নি আমার চাচা উনি আছে তাবলীগের সাথী রাজশাহী মারকাজ মসজিদ উনার বেশ বড় অবদান আছে যারা তাবলীগের সাথে তারা কিন্তু কোন ধরনের রাজনীতি পছন্দ করেনা কোন ধরনের অন্যায় পছন্দ করেনা আর আমার আব্বা তো আরেক জিনিস যে শেখ কামালকেও ছাড় দেয়নি বিপকেশ ভরা সোনা সহকারে গ্রেফতার করেছিলেন আমার আব্বা মুক্তিযোদ্ধা সার্টিফিকেট নেননি কারণ একমাত্র ঘিন্না এমনকি উনি ডিজে ফায়ার ছিলেন তখনো আয়না ঘর ছিল এই আয়না ঘর আর ওই আয়না ঘর আকাশপথাল তফাৎ আমি যে কথাগুলো বলছি এ কথাগুলো মনের ভিতর থেকে এক ধরনের ক্ষোভের কারণে বলছি প্রকৃত ব্যক্তিকে যার যেখানে বসার দরকার তাকে ওখানে বসার দেশ উন্নতি করান এটাই আমাদের একমাত্র চাওয়া পাওয়াএবং প্রকৃত মুক্তিযোদ্ধা যাচাইবাছাই করার জন্য এখনো ফাইলে রেকর্ড আছে প্রকৃত মুক্তিযোদ্ধা বাই করতে হলে তৎকালীন সময় পাকিস্তান ও পূর্ব পাকিস্তান যে রেকর্ড আছে ওই রেকর্ড অনুযায়ী বাই করা অনেক সহজ যারা মুক্তিযোদ্ধার অবমাননা করেছে তাদের বিচারের আইতে অবশ্যই আনতে হবে যেন পরবর্তীতে আর কেউ কখনো দলীয়ভাবে অথবা টাকার মাধ্যমে আর কেউ কখনো এ ধরনের দেশের ভিতরে গাদ্দারী না করতে পারেআমার কাছে অনেক তথ্য আছে কোরবান সহকারে এখনো তারা সাক্ষী দেওয়ার মতন যদিও বিছাগত কে মুক্তিযোদ্ধা ছিল কে রাজাকার ছিল রাজাকারের মেয়েকে মুক্তিযোদ্ধার ছেলে বিয়ে করে রাজাকারের জামাই হয় মুক্তিযোদ্ধার ছেলে আমার কাছে এখনো প্রমাণ আছে	Political Hate
10035651	যে যাই বলুক এবার জামায়াতকে ভোট দিবো	None
10035652	একতুরে স্বাধীনতা এটা সম্পূর্ণ রাজনীতি রাজনীতি মুক্ত স্বাধীনতা ছিল ১৯৪৭ সাল যেটা মুসলমানরা ব্রিটিশদেরকে পাড়াতে বাধ্য করেছিল ১৯৪৭ সালে যুদ্ধ নিয়ে বড় ধরনের পলিটিক্স ছিল না ইংরেজরা এই যুদ্ধে পরাজিত হয়ে লুটপাট করে নিয়ে গেছে অনেক কিছু আর কিছু দালাল যেরকম ভারতের মোদি সরকারের উগ্রপন্থী হিন্দু তারা এখন পর্যন্ত ব্রিটিশদের দালালি করছে যদিও আমেরিকা সাথে শুল্ক রাজনীতি মাধ্যমে চীন রাশিয়া গুপ্তচর হিসেবে শুলকর মাধ্যমে ভারতকে সবার সামনে দেখাচ্ছে আমার সাথে ভালো সম্পর্ক নাএটা সম্পূর্ণ আমেরিকার বড় ধরনের রাজনৈতিক জাল আমরা সবাই জানি আমেরিকার ডান হাত হয়েছে দখলদার ইসরাইল বাম হাত ভারতের মোদি জেনে এশিয়া মহাদেশের মধ্যে দালালের এক নম্বর স্থানে আছে১৯৭১ সালের যুদ্ধ সম্পূর্ণ ভারত ও ব্রিটিশ রাজনীতি ছিল ১৯৭১ সালে সত্যিকারি মুক্তিযোদ্ধা তারা অবহেলিত আর যারা মুক্তিযোদ্ধা করেনি বিভিন্ন ছত্রছায়ায় এবং টাকা পয়সার মাধ্যমে অনেকে লাভবান হয়েছে যেটা আমাদের দেশের জন্য লজ্জাজনক এই মুক্তিযোদ্ধার নামে মেধাবীরা সম্পূর্ণরূপে ব্যর্থ হয়েছে সব জায়গাতে আর মূর্খরা তারা লাভবান হয়েছে কারণ রাজনীতি আমাদের দেশে যার যেখানে সমাজকল্যাণের জন্য যোগ্যতা অনুযায়ী বসার দরকার ছিল দেশের উন্নতির জন্য সেটা মোটেও হয়নি এজন্য আমাদের বাংলাদেশের পিছিয়ে থাকার একমাত্র কারণ আমাদের বাংলাদেশের নোংরা পলিটিক্স তবে সময় সব সময় এক রকম থাকে না এখন বাংলাদেশের নাগরিক পুরোপুরি জাগ্রত এই দেশে আবারো কেউ কখনো দুর্নীতির মাধ্যমে স্বৈরাচারীর পদবী নিতে চাইলে বাংলাদেশের জনগণ তাদেরকেও স্বাগতম জানাবে এটা কি ধরনের স্বাগতম হবে একমাত্র উপরওয়ালাই ভালো জানে	Political Hate
10035653	তাইতো বলি চোরের বড় গলা	Abusive
10035654	দাদা ভাই  ভারতের ফজু পাগল ফেল করছে	Abusive
10035655	ইউটিউব কোম্পানির কাছে বিশেষ আবেদন যেন ইউটিউবের কমেন্টে হা হা রিয়েক্টা দেওয়ার সুযোগ করে দেয় কে কে একমত	None
10035656	আরে পিনাকী ভাই আপনি তো পাগল হয়ে গেছেন পাগল না হইলে এমন প্রমান দিয়ে কেউ কথা বলে দিলেন আমার লিডারের পুমেরে	Abusive
10035657	সঠিক তথ্য গুলো জনগণের সামনে তুলে ধরার জন্য বেশ কৃতজ্ঞতা	None
10035658	আমার মামা মারা গেছে সৃষ্টিকর্তা্ তাকে বেহেস্ত নসিব করোন উনি যেদিকে বৃষ্টি পড়তো সেদিকে ছাতা ধরতেন ফজু পাগলা আর মুজিব ছিলো সেই প্রকৃতির	None
10035659	ভূয়া মুক্তিযোদ্ধা ফজুরা অসত্য বলেই যাছ্ছে ওদের জিব্বা পচে যাবে ফিরেসতাগন আগুনের কাচি দিয়া জিব্বা কেটে দিবেন দুনিয়াতে মুক্তি যোদ্ধার নামে যত যাযা খাইছে সমস্ত পেটে আগুন জ্বলবে	Abusive
10035660	দাদা আপনাকে কাছে পাইলে ভুঁড়ি কানা করে দিমু কিন্তু আমারে হাসাইতে হাসাইতে ভুঁড়ি ফাটায় ফেললেন	Abusive
10035661	দাদা আপনি হয়তো জানেন না ডাউকি টুইন টাওয়ারের উপর থেকে শেষ স্নাইপার গান দিয়ে জাফলং আর তামাবিলের পাকিস্তানি সেনাদেরকে হত্যা করেছিল	None
