10000043	আইনমন্ত্রী সাহেব আপনার জীবন প্রস্থানের কারণে আপনার জীবনে বিশ্বাস করেন না।	None
10000044	নাসির উদ্দিন হলেন উজ্জ্বল দেশের শিরায় শেরা রিপোর্টার	None
10000045	ফিলিস্তিনের কারণে রাশিয়াকে একা ভালোবাসুন, ইনশাআল্লাহ রাশিয়া জিতবেন	None
10000046	আমাদের বাংলাদেশ এখন আটটি চ্যানেলের ক্রাইম পেট্রোলে পরিণত হয়েছে।	None
10000047	বালের আলাপ কারও স্বতন্ত্রতা থাকতে পারে না	Profane
10000048	এত বড় শাঁস কিন্তু আপনি কিভাবে এসেছেন	None
10000049	ভারতে নীলগাই গুজরাটে কতজন লাগবে	None
10000050	শাকিব এখন বিসিবির গর্বিত স্ত্রী হয়ে উঠেছে	Abusive
10000051	আল্লাহ চট্টগ্রাম আমিনের মানুষকে আরও সম্পদ দেন।	None
10000052	ঘুষ	None
10000053	নানুবিশ	None
10000054	আমি বয়স 5 করতে চাই	None
10000055	বাংলাদেশের লোকেরা যারা প্রবাসীদের রেমিট্যান্স খাওয়ার আশায় বসে আছেন।	Abusive
10000056	আর্জেন্টিনার চাহিদা সর্বদা বেশি	None
10000057	আপনি এমন একজন ভাল পরিচালক প্রযোজক এবং এমনকি শিল্পীরা আপনাকে দেখতে পাচ্ছেন না	None
10000058	শেখ হাসিনা মানে নতুন কিছুর উদ্বোধন এবং নতুন কিছু উদ্বোধন করা, হে মহান আল্লাহ পাক উন্নয়ন নেতা শেখ হাসিনা, শেখ হাসিনা, ফেরাউনের বংশধরদের সময় থেকে এবং পৃথিবীর গোড়ায় বাংলাদেশকে সম্মানজনক অবস্থায় পরিণত করার নিরলস প্রচেষ্টা এবং আকাঙ্ক্ষাকে গ্রহণ করেন।	Political Hate
10000059	কেন আজ হাসে না	Abusive
10000060	বাংলাদেশ ক্রিকেট দলকে শুভেচ্ছা	None
10000061	পুলিশ বাদে আপনার একটি আইবাল আছে	None
10000062	ওহ কামরুল বাজান এত দীর্ঘ সময় পরে খালি মাঠে আপনার একটি গোল আছে।	None
10000063	খানকি পোলারা হ্যাডার নিউজ ডেস নিউজ ইডির মাঝখানে দু'বার	Profane
10000064	আমাদের বাড়িতে, সৌদি তার স্ত্রীর সাথে সৌদি আসবেন, তিনি কিশোরগঞ্জের কাতিয়াদি থানার লোহাজুরি ইউনিয়নেও তার খামার রয়েছে।	None
10000065	আঙুল	None
10000066	আপনি যদি রিজিক অটো রিকশা ব্যাটারিটি কয়েক মিলিয়ন বন্ধ করার সিদ্ধান্ত নেন	None
10000067	প্যালেস্টাইন আরও একজন সঞ্চারিস্ট	Abusive
10000068	যে মা একজন সন্তানকে ভিক্ষুকের কাছে ছেড়ে যেতে পারে সে সন্তানের বিষয়ে মন্তব্য করতে আগ্রহী নয় যে বলতে পারে যে এই মা কখনই শিশুকে সুরক্ষা দিতে পারে না, তাই শিশুটি শিশুটিকে হত্যা করতে এবং হত্যা করতে পারে, তাই তাদের শিশুটিকে আরও ভাল মানুষ দেওয়া উচিত।	None
10000069	আপনাকে মিথ্যা জন্য নোবেল পুরষ্কার দিন	None
10000070	বিশিষ্ট চুলকানি দাতা এই অভিনেতা সত্যিই ভাল রোদ দিতে পারেন	Abusive
10000071	মায়া তুমি কেন তোমার সাথে আসবে যেমন ফারাজ করিমের মতো ছেলেটি নিয়ে গেল	Abusive
10000072	কে আমার মতো মন্তব্য পরতে পছন্দ করে	None
10000073	তেল দে কে এই জাতীয় কথা বলতে হয়	Abusive
10000074	এটা বলতে হবে	None
10000075	শীঘ্রই আপনার পালনকর্তা আপনাকে এত কিছু দেবেন যে আপনি সুখী সুরাহ দুহা হবেন	None
10000076	যারা আইনের অধীনে লিখেছেন তাদের কেন আনবেন না	None
10000077	আলতো করে আমেরিকাতে সবকিছু দিন	None
10000078	যদি হত্যাকারীদের সরাসরি গুলি করা উচিত তবে যদি হত্যাকাণ্ড আর পুড়ে না যায়	Abusive
10000079	ষাঁড়	Profane
10000080	প্রশাসন	Abusive
10000081	আমেরিকার দাদা	Abusive
10000082	বস যিনি বসের কথায় বসকে খেলতে চান না এবং বসতে পারেন এবং বসতে পারেন কারণ বস ওডিস থেকে অবসর নেননি।	None
10000083	লোকেরা তাদের হৃদয়ে বলে এবং যখন অর্থ প্যাবোটাসের কানে যাচ্ছে না	None
10000084	যদি কেউ তিনটি না নেয় তবে তারা কোনও দিন প্রতিবাদ না করার কারণে শিক্ষিত হবে।	Political Hate
10000085	যেহেতু আপনি 20 বছরে 5 টি আসন খুঁজে পাননি, আপনি এই 5 বছরে কী করেছিলেন যে আপনি 5 থেকে 20 টি আসন পাবেন।	Political Hate
10000086	আমি বিসিবি সব থেকে পদত্যাগ করতে চাই	Political Hate
10000087	বাংলা দেশ সরকার সরকার মায়দুল ইসলামের কাঁপতে সাহায্য করেছে, যারা দেশের কারাগারে রাখা হয়েছে।	Abusive
10000088	আমি ইদানীং একটি জিনিস লক্ষ্য করেছি যে এর বাথরুমটি আসলে একই সাথে বাথরুমটি ধরে রেখেছে	Abusive
10000089	আইসিসি এর জন্য দায়ী	Abusive
10000090	টাই বাংলাদেশ বাংলা ওয়াশ সিরিজে বাংলা ওয়াশ হওয়ার লক্ষ্য	Abusive
10000091	ইমরান খানের জন্য আন্তরিক শুভেচ্ছা এবং আজীবন একটি ভাল বাড়ি	None
10000092	আরও	None
10000093	প্রার্থনা এবং ভালবাসা অন্তহীন সুমন ভাই ইনশাআল্লাহর জন্য জিতবে	None
10000094	কিংবদন্তির কত দিন পরে বাংলাদেশে থাকবে	None
10000095	বাবা বাবার জন্ম এতটা দেখেনি	None
10000096	এই বাংলার মহান শিশুদের থেকে হাজার হাজার কিলোমিটার দূরে অনেক লোক বেশি আগ্রহী	None
10000097	যখন খবরটি এখন ধান ফসল কাটাচ্ছে এবং এই প্রতিবেদনটি আমি দেখেছি যে ধানটি কেবল বাড়ছে।	None
10000098	যাত্রী যদি আজ যাত্রী বহন করে তবে যাত্রী এটি বহন করে আমি যেতে চাই	None
10000099	নায়কের সাথে হাস্যকর ভোক্তাদের অধিকার বাদে আর কী হতে পারে	Abusive
10000100	চোরাচালানকারীরা তাদের আইনের অধীনে অনুকরণীয় শাস্তির দাবি করছেন, যদি তা সম্ভব না হয়, তবে সাফল্য তাদের দেশে তাদের পরিবারের আইনের অধীনে আসবে।	None
10000101	রাস্তাটি তৈরি করছে বা কেবল ld ালাই দিচ্ছে	None
10000102	সময় টিভিতে সাংবাদিকের নম্বর হবে	None
10000103	আপনার কোলিজাও কাপনা এমন মিথ্যা বললেন	Abusive
10000104	মোখা আল্লাহর কাছে চলে গেছে	None
10000105	আপনার নিজের সমালোচনা	None
10000106	আলহামদুলিল্লাহ সরকার হলেন অগ্রণী	None
10000107	ভোটিং চোরদের সঞ্চিত করা হবে তাই অস্ত্র আনছে অস্ত্র	Abusive
10000108	আল্লাহ আমাদের সকলকে রক্ষা করুন	None
10000109	টিভিতে দেওয়া একটি বক্তৃতা দিয়ে দেশকে এটি দেওয়া সম্ভব	None
10000110	আপনি যদি ফিরে এসেছেন	None
10000111	ব্রোকারেজ বন্ধ করে দেশের নিউজ ফোর্স	Abusive
10000112	সাংবাদিকের নাম আগুনে আগুন	Abusive
10000113	বরিশাল রিপোর্টার সম্পর্কে কথা বলা, হাঁপানির যে রোগ রয়েছে তা ঠিক করা উচিত	None
10000114	হিন্দু বাচ্চাদের কী দেওয়া হয়েছিল	Religious Hate
10000115	আমরা নিরক্ষরতার আকারে শিক্ষিত হয়েছি, এবং মোটা চেয়ারগুলির মুখে জাতি -মাইন্ডড নেতা এবং মাস্টার্সের অনিয়মিত নেতারা, আমেরকে বুদ্ধিজীবী বিশেষজ্ঞদের বুদ্ধি বিশেষজ্ঞদের শোষণ করে এবং মিথ্যা আশ্বাসের দ্বারা দেশ ও বিদেশের জন্য দরিদ্রদের জন্য দরিদ্রদের জন্য কোনও ক্ষতি নেই।দেশের অসহায় দরিদ্র মানুষ। সমস্ত পরিষেবাদি মানের নিয়মগুলি শৃঙ্খলে করা উচিত লোকেরা সহজেই গাড়ি বিমানের ডাবল লাইনে বাস ট্রেন ট্র্যাফিকের মাধ্যমে ডাবল লাইনে ভ্রমণ করতে পারে বিমানবন্দরকে হয়রান করার জন্য অবাধে ট্র্যাফিক ট্র্যাফিকের মাধ্যমে এবং বিমানবন্দরটি হয়রানি করা হবে না। জমিটি অবৈধভাবে নদীর তীরের জন্য অবৈধভাবে চাঁদাবাজির ফুটপাথ দখল করা হবে, যা সাসটেনেবল মানের ব্লগ এবং নদীর তীরের ব্যবস্থা করা হবে, তবে নদীটি হবে,অনিয়মিত ঘুষ ঘুষ চুরি, যদি আপনি চোরাচালানকারী মাদকাসক্তির সাথে সিন্ডিকেটটি নিয়ন্ত্রণ না করেন, আপনি যদি মাদকাসক্তির সাথে সিন্ডিকেটটি নিয়ন্ত্রণ না করেন তবে আপনাকে রাস্তা দুর্ঘটনা এবং শৃঙ্খলে ব্যবসায়িক রাজনীতি প্রদান করতে হবে। চাকরির অর্থ লুটপাটের জন্য শিক্ষার ব্যবস্থা পরিবর্তন করা উচিত।সমস্ত কাজগুলি সঠিকভাবে বিশ্লেষণ করা প্রয়োজন যাতে অর্থ সমস্ত অফিসে কাজ না করে বা কাজ না করে যাতে সমস্ত অফিসের সরকারের স্বায়ত্তশাসিত প্রশাসন হাসপাতালে অনিয়ম না থাকে। যদি ব্যাংকটি লুটপাট ড্রাগগুলি লুটপাট করে না, তবে মাদকাসক্তরা তাদের আইনগুলির সাথে লোকেদের সাথে জড়িত থাকতে পারে এবং তাদের পরিষেবাগুলির সাথে সেবাগুলির সাথে জনগণের সাথে মিথ্যা আশ্বাস দেওয়া হয়।সমস্ত উন্নয়নমূলক কাজের জন্য কঠোর শাস্তি পেতে হবে, সেনা প্রকৌশলীর সাথে পরামর্শ করা বা তাদের দায়িত্ব নিয়ে কাজ করতে হবে, সমস্ত সরকারী স্বায়ত্তশাসিত প্রশাসনের পারফর্মারদের 6 মাস আগে বাধ্যতামূলক সেনাবাহিনীকে প্রশিক্ষণ দেওয়া উচিত, তারপরে দেশের প্রেমিক, তারপরে দেশের অসহায় দরিদ্র মানুষকে বিঘ্নিত করা হবে। বিনিয়োগের সাথে জড়িত অনিয়ম তদন্তের সাথে তাদের আধুনিক প্রজন্মের সাথে বিবেচনা করতে হবে, তাদেরকে আধুনিক প্রজন্মের সাথে বিবেচনা করতে হবে।	None
10000116	অত্যন্ত মৌলবাদী গোষ্ঠী হামাস হ'ল বিশ্বের সমস্ত দেশকে কম করার দায়িত্ব	Religious Hate
10000117	যদিও ট্র্যাজিক একটি মর্মান্তিক ঘটনা, স্ল্যামের পাপকে ব্যাংক লুটের অর্থ পাচারের অর্থ দ্বারা শাস্তি দেওয়া হয়।	Religious Hate
10000118	এই সত্যটি কাম্য নয়	None
10000119	হায়, পিএসজি যিনি আগের বছর থেকে ক্লাবটিকে ছাড়েননি তারা ক্লাবকে যেতে দেয়নি এবং ক্লাবের কচ্ছপটি এখন আপনার পায়ে আঘাত করছে, যদি মেসি নেইমার এই দিনটি না দেখেন।	Abusive
10000120	নবী দেশে কিন্তু আবুজাহল ছিলেন এবং তা ভুলে যায়নি	None
10000121	সুন্দর মানুষের দুর্ভোগের অর্থ বুঝতে পারে না	None
10000122	তানভির স্যার আপনার গলা কি গান	None
10000123	ইন্দোনেশিয়ান সরকার আন্দামান সাগরে ভাসমান মুসলমানদের আশ্রয় দেওয়ার জন্য ইন্দোনেশিয়ান সরকারকে অভিনন্দন জানায় এবং শুভেচ্ছা জানায়।	None
10000124	বাংলাদেশে পিতার নাম পরিচয় করিয়ে আপনার বাবা আমি জানি যে তিনি বিনজানি ছিলেন তবে আপনি বিনজানি হলে আরও ভাল হত।	None
10000125	ভিডিওতে 1 বিজ্ঞাপন সাউন্ড	None
10000126	বেটির রায়টি আকম কাইরা বিচারের দিকে আসা উচিত, যিনি আপনি অভিনয় করতে যান তবে জ্বালানীতে যাননি, তারপরে মারা যাওয়ার আগে, কেউ জানত না যে বোচোদা মুরগী ​​মুরগির জন্য কতটা অভিনয় করবে।	Profane
10000127	আমরা শুনেছি যে বিএনপির নেতারা আওয়ামী লীগ থেকে বিক্রি করা হয়েছে যার জন্য এই আন্দোলনটি গঠিত হয়নি কারণ নেতারা কেবল তৃণমূল পর্যায়ে শান্তিতে বাস করছেন, সাধারণ কর্মীরা আক্রমণ মামলায় ধ্বংস হয়ে যাচ্ছেন।	None
10000128	এড শালারা এক মিনিটের খবরে আবার মানুষ ছিলেন না	Profane
10000129	শিক্ষামন্ত্রী দিপু মনিকে অপসারণ করা উচিত কারণ শালি এটিকে ঘুরিয়ে দিয়ে বাংলাদেশের পড়াশোনা পরিবর্তন করছে।	Profane
10000130	আপনি ডিম পরেছেন	None
10000131	বল্লা দেশের সাগাতোর বালিতে থাকবে	Profane
10000132	আমার বাকশালি অপা ফিরে যান চাকরের ছাল নয়	Political Hate
10000133	চোরের অধীনে কোনও নির্বাচন নেই	Political Hate
10000134	অবরোধের সময় গাড়িটি না বের করা ভাল	None
10000135	এই শালটিতে মেয়েটির লোকটির শাকিব খান	None
10000136	বাংলাদেশে	None
10000137	একটি দেশের নায়ক হ'ল জয়ের পর থেকে একটি দেশের নায়ক	None
10000138	শাল	Abusive
10000139	মনে রাখবেন যে একদিন এই উত্তর দেওয়া হবে	None
10000140	খগ্রাচারি এবং বান্দার বোনদের মধ্যে একটি বিড -আকারের ইট কারখানা তৈরি করা এবং রড সিমেন্ট স্টোন কারখানা তৈরি করা প্রয়োজন, বাংলা দেশের পক্ষে জরুরি ভিত্তিতে প্রয়োজন।	None
10000141	লেজ চালানোর অভ্যাসটি আরও বেশি	None
10000142	কোথা থেকে এসেছে	None
10000143	এটি এই উস্কানির সাথে পিছনের পা থাকবে যে এটি কিছুক্ষণ পরে একটি ধর্ম এবং কোনও সহায়তা দিচ্ছে না	Abusive
10000144	সারাদিন বৃষ্টিতে জ্বর বরফ কাজ করে	None
10000145	ভাই ব্যারিস্টার লোকেরা বলতে ভয় পান, তবে তিনি যদি না বলেন তবে দেশের ভবিষ্যতে তাকে হজম করা হবে না।	None
10000146	ভাই লাইক	None
10000147	আমি কর্তৃপক্ষের দৃষ্টি আকর্ষণ করছি কেন এত বিজ্ঞাপন খবরে আসে	None
10000148	আমি কি দিয়ে যেতে চাই দয়া করে আমাকে বলুন	None
10000149	দেখে মনে হচ্ছে আমি এখনও বাইক চালাই নি তবে আমি সমস্ত বাস ট্রাক বিমান।	None
10000150	ইনশাআল্লাহকে সত্যের বিজয়ের গ্যারান্টি দেওয়া হবে মিথ্যা মামলাগুলির সাথে খুব বেশি সময় ধরে না রাখার জন্য	None
10000151	আল্লাহ আমাদের সৃষ্টি করেছেন	None
10000152	জুতো মারা হালা তদন্ত কমিটি তিন দিন পরে তিন দিন পরে তদন্তের জন্য শালা নালাকে মারা যাওয়ার দরকারের তিন দিন পরে চলে গেছে।	Profane
10000153	আমি মনে করি আপনি রাশিয়ার কাছে প্রস্তাবটি ফিরিয়ে দেওয়ার প্রস্তাবটি গ্রহণ করে বাংলাদেশের জনগণকে বাঁচাতে পারবেন	None
10000154	আল্লাহ আপনাকে একটি ফুসকুড়ি দিন	None
10000155	আশফাক নিপুন প্রমাণ করে যে কীভাবে অপব্যবহার ছাড়াই নগ্নতা ছাড়াই নাটকটি আঘাত করা যায়	None
10000156	টাইম টিভি সর্বদা অস্বাভাবিক হয় আমরা হালওয়া রুটির গল্পটি জানি	Abusive
10000157	বার্জের অভ্যন্তরে রডের পরিবর্তে আপনাকে ধন্যবাদ জানাতে আপনাকে ধন্যবাদ জানাতে হবে	None
10000158	এই বেটি বাংলাদেশ একটি মুসলিম দেশ এবং তুমিটো নামে একজন মুসলিম	Abusive
10000159	আওয়ামী লীগ চলাকালীন শেষ ব্যক্তিদের বাংলাদেশ	Political Hate
10000160	এর অর্থ হ'ল মানবতা ভবিষ্যতের রাজনীতি যাতে এটি এমন হয়	None
10000161	একজন ইতিবাচক মানুষ তাঁর কথা শোনার ক্ষমতা পেয়েছিল	None
10000162	এটি আরও বলা যায় যে ট্রাম্প একজন ভাল মানুষ	None
10000163	শেখ হাসিনা পৃথিবীর এমন এক ব্যক্তি যিনি লজ্জা পান না	Abusive
10000164	আপনি বাংলাদেশে বাংলাদেশের আইন তৈরি করছেন বাংলাদেশী নাগরিকদের অধিকার নেই	None
10000165	সঠিক তদন্তের মাধ্যমে অপরাধীদের বিচার করা	None
10000166	এই হাল নখালীর পুত্র নোকালির জন্য কিছুই করেনি	Profane
10000167	আমরা চাই দেশের উন্নয়ন এই বলটিতে সম্পদের নোংরা রাজনীতি নয়	Profane
10000168	আমেরিকা কীভাবে তাদের নিষেধাজ্ঞা দেওয়া যায় তা সবাইকে নিষিদ্ধ করে	None
10000169	আপনি বাংলাদেশ সম্পর্কে কথা বলার আগে, আপনি এই লিগটি যতটা জিজ্ঞাসা করবেন যে তারা জুয়া সংস্থাগুলি জুয়ার কাছ থেকে কোটি কোটি টাকা পাবে, তাই তারা আরও ভাল মানের এবং যারা এই লীগে আরও আগ্রহী তারা এই লিগের প্রতি আরও আগ্রহী, বিশ্বের একমাত্র লীগ নয়।	None
10000170	এটি কোনও রাজনৈতিক দলের প্রধানের ভাষা নাও হতে পারে	Political Hate
10000171	মিথ্যা	Abusive
10000172	এই ভাষাটি কীভাবে ব্যবহার করবেন তা জানাতেন সংবাদ	Abusive
10000173	বাংলাদেশ দুর্নীতি -মুক্ত দেশ	None
10000174	তারা শরীরের সংবাদ পেয়েছে কারণ তারা পেয়েছে	None
10000175	বাংলাদেশে দৌড়াদৌড়ি করা খুব ভাল এবং বাসাস মহিলাদের কিছুটা বোঝা উচিত	Profane
10000176	আমি আজ তামিমের ভক্ত	Abusive
10000177	চুরি	Abusive
10000178	যথাযথ তদন্ত যাই হোক না কেন এবং বিচারের আওতায় আনতে হবে এর পিছনে এত কিছু আছে	None
10000179	আপনার নিজের ব্যক্তিগত জীবনের কথা ভাবুন আপনার নিজের কাঠকয়লে খানিস খানকি খানকি তেল কতটি।	Profane
10000180	শেখার অনেক কিছুই আছে	None
10000181	ধন্যবাদ শুভেচ্ছা	None
10000182	মাদ্রাসার ছাত্র জাউরা জৌরা জৌরার বাড়ি সোরার বাড়িতে রয়েছে, এই পরিস্থিতি খুব ভাল।	Profane
10000183	খবরের খবরে, এড একেবারে বিরক্তিকর যে আমি আপনার সংবাদ বাদ দিচ্ছি, সম্ভবত আমার মতো অনেক লোক বাদ পড়েছে	Abusive
10000184	মাঝেমধ্যে অস্বাভাবিক তরঙ্গ নদীতে ঘটে তবে নদীটি পরিবর্তিত হয়, ঠিক যেমনটি সময়ে সময়ে পরিবর্তনের তরঙ্গ শ্রীলঙ্কা থেকে এই তরঙ্গ শুরু হওয়ার পরে আসে, তখন আমরাও আশা করতে পারি যে সীমানাটি ভারতকে অতিক্রম করতে বেশি সময় লাগবে না কারণ আমরা এখন ডিজিটাল সময়ে বাস করছি।	Political Hate
10000185	আমি জানতাম না বাংলাদেশে কাইশার বাড়ি টিভিতে টিভি সময় ধন্যবাদ	None
10000186	আমি এই যুদ্ধের যুদ্ধ	None
10000187	আমরা আমাদের নায়ক আলমের দরিদ্র	None
10000188	ইসি আওয়ামি লীগ এখানে কী গ্রহণ করবে তা গ্রহণ না করে এবং ইসি কী করবে তা আপনার মতোই করবে, তাই আপনি গ্রহণ করবেন।	Political Hate
10000189	কর্মী ও সরকারী কর্মচারীদের বেতন না বাড়িয়ে এবং যারা এই অর্থ প্রচার করে এবং দেশের সম্পদ ব্যবহার করে তাদের দেশের সুরক্ষার জন্য দেশের সুরক্ষার জন্য আধুনিক অস্ত্র কিনুন।	None
10000190	আমি গর্বিত আমি বাংলাদেশী আমি গর্বিত আমি বুঝতে পারি যে ভারতীয়দের জুতার জুতা হওয়া উচিত।	Abusive
10000191	শালা বাল্ড হাদরাম বাংলাদেশে জন্মগ্রহণ করেছিলেন, পাপান বলেছিলেন যে বুলস অফ দ্য ফুলস অফ দ্য ফোলস সালাউদ্দিন পাপান সাহেবের সাথে কী কথা বলেছিল সে সম্পর্কে কী মন্তব্য করছিল, তবে তিনি এখানে সাংবাদিকদের প্রতি অত্যন্ত শ্রদ্ধার সাথে কথা বলেছেন যে সালাউদ্দিনকে কেন বট করে দেওয়া হয়েছিল, কারণ সালাউদ্দিনকে বুননকে আরও ভাল করে দেওয়া হয়েছিল, কারণ সালাউদ্দিন থিয়েভসের আন্ডার অফ দ্য নাম্বার, কারণবাংলাদেশ ক্রিকেট বর্তমানে দেশে 7 নম্বরে এবং আইসিসি ওয়ানডে সুপারলিগ ওয়ার্ল্ড ক্রিকেট বোর্ডের তালিকার পাঁচ নম্বরে রয়েছে।	Profane
10000192	একটি খুব দুঃখজনক জিনিস	None
10000193	এবার বিশ্বকাপ আজ মেসির হাতে থাকবে, আর্জেন্টিনা ইনশাআল্লাহ আর্জেন্টিনা জিতবে।	None
10000194	ইনশা আল্লাহ প্যালেস্তাইন জিতবেন	None
10000195	সৌদি আরব সংযুক্ত আরব আমিরাতেই বসে আছে	Abusive
10000196	চোদানরা মাছের দাম হ্রাস করে না, তবে আপনাকে অর্থ কিনতে হবে না, তবে কেন দাম এত বেশি।	Profane
10000197	তারপরে স্বাধীন বাংলার লোকেরা এটি গ্রহণ করবে, এটি দেশের বাজার মূল্য অব্যাহত রাখতে থাকবে।	Abusive
10000198	আরব্লিগ ইভেন্টে জেনসিকে আমন্ত্রণ জানানো ঠিক ছিল না	None
10000199	ইনশাআল্লাহ জিয়ার সৈনিক বিজয় হবে	None
10000200	প্রশাসনের মনোযোগের প্রশংসা করা হ'ল প্রকল্প পরিচালককে আইনের আওতায় আনা হয় এবং এলাকার দুদক এমপি সকলেই প্রকাশিত হবে।	Abusive
10000201	হাজার হাজার কেজি জন্য গরু কেনার ক্ষমতা আমাদের নেই।	None
10000202	অপুর বাড়িটি পাবনায় আছে বলে মনে হচ্ছে	None
10000203	এই দেশের পতিতা থেকে সংরক্ষণ করুন	None
10000204	ভাই দয়া করে এই বিরক্তিকর বিজ্ঞাপনটি বন্ধ করুন	None
10000205	মাথা তার উপর ঠিক নেই	Abusive
