id	text	label
116	আমরা হলাম শিক্ষিত রুপে অশিক্ষিত অসভ্য নোংরা বিশৃঙ্খলা অনিয়মদুর্নীতি করা জাতিমূর্খ নেতারা আর মাথা মোটা চেয়ারে বসার জন্য মুখস্থ বিদ্যায় কমকর্তারা কত আরাম আয়েশ করে গাঁজা খোর বুদ্ধি বিশেষজ্ঞ অভিজ্ঞতা দিয়ে পরিকল্পনা করে বাহানা করে অসত্য আশ্বাস দিয়ে অনিয়মদুর্নীতি করে দেশ ও বিদেশে সম্পদে পাহাড় গড়ে তুলাসরকারের কত ক্ষতি করছে কোন মায়া নেই দেশের প্রতি দেশ প্রেমিকের শিক্ষা নেই তাই মায়া নেই জবাবদিহিতা বিচার শাস্তি নিরপেক্ষ তদন্ত কঠিন আইন নাই বলে সব সম্ভবসৃষ্টিকর্তা সবাই কে হেদায়েত দান করুন দেশ প্রেমিকের শিক্ষা নিয়ে দেশ ও দেশের অসহায় গরীব দুখী মানুষের কষ্ট বুঝে সেবা করার তৌফিক দান করুন খারাপ লাগে দেশের খারাপ কিছু শুনলে এখন এখন আমাদের ১৫০২০০ বছরে চিন্তা ভাবনা করে ভবিষ্যৎ প্রজন্ম কথা ভেবে সঠিকভাবে বিশ্লেষণ করে সকল উন্নয়নমূলক কাজগুলো আধুনিক শক্তিশালী টেকসই মানের সেবা কৃষি শিল্প খাত ও কাজ করতে হবে কোন ছয়নয় বাজেট সময় বাড়ানো নকশা ভুল করা সহ যত রকম বাহানা চলবে নাসুন্দর ভাবে চারপাশে দেখে নকশা করতে হবেশিক্ষায় শিক্ষিত দেশ প্রেমিক হতে হবে সকল সেবা মান নিয়মকানুন শৃঙ্খলা ভাবে করতে হবে জনগণ সহজে যাতায়াত করতে পারে গাড়ি বিমান ডাবল লাইন করে বাস ট্রেন নৌযান যানজট মুক্তভাবে হয়কোন টিকিট কাউন্টার ও বিমানবন্দরে যেন হয়রানি পেরেশানি না হয়গ্যাস বিদ্যুৎ পানি ওয়াসাসড়ক ৬৮ লাইনের অলিগলি গ্রামীণ রাস্তা ঘাটে মাটির নিচে দিয়ে সকল ইলেকট্রনিক তার ও ড্রেনসহ প্রশস্ত করতে হবে আন্ডারপাস রাস্তা ইর্উটান ব্যবস্থা করতে হবেকমকর্তা ও নেতারা জড়িত হয়ে দখল করা জমি অবৈধভাবে দখল চাঁদাবাজি ফুটপাত মুক্ত করতে হবেনদ নদী খাল বিল বেরিবাধ টেকসই মানের ব্লগ নির্মান ও নদী খাল দিয়ে ওয়াক ওয়ে ও যাতায়াত গাছের ব্যবস্থা করতে হবে নিরাপত্তা আশ্রয় কেন্দ্রসরকারি হাসপাতালে সকল অফিস বিশ্ববিদ্যালয়ের কলেজ হল এলাকার খেলার মাঠ পার্ক কমিটি সেন্টার ও পর্যটন এলাকা শিল্প সংস্কৃতি সুন্দর ভাবে ভবিষ্যৎ প্রজন্ম কথা ভেবে সঠিকভাবে বিশ্লেষণ করে পরিকল্পনা করে সাজাতে হবে নির্মান করতে হবেঅলিগলি সড়ক সিসিটিভি স্থাপন করা বাতি লাগানে ট্যাফিক যানজট আধুনিক সিস্টেমের আওতায় আনতে হবেচারপাশে পরিস্কার করা ময়লা পোস্টার মুক্ত করতে হবেবিশৃঙ্খলা অনিয়মদুর্নীতি ঘুষ চুরি স্বজনপ্রীতি ভেজাল ঔষধ কাপড় খাদ্য করলে পন্য দাম বাড়ানো চোরাচালান মাদক নেশা নিয়ে সিন্ডিকেট নিয়ন্ত্রণ করলে চিকিৎসা সেবা না করলে সড়ক দুর্ঘটনায় ও শৃঙ্খলা নিয়মকানুন না মানলে শিক্ষা নিয়ে ব্যবসা রাজনীতি করলে কঠিন শাস্তি দিতে হবে জরিমানা জবাবদিহিতা করতে হবেঅবৈধভাবে দখল চাঁদাবাজি করা দেখানো উচ্ছেদ অভিযান দেয় পরে আবার সিস্টেম করে নতুন ভাবে গড়ে তুলে তা বন্ধ করতে হবেবড় পদ চাকরি টাকা লুটপাট করার জন্য মুখস্থ বিদ্যা অর্জন করা মনমানসিকতা পরিবর্তন করতে হবেএকসঙ্গে সকল কাজ সঠিকভাবে বিশ্লেষণ করে করতে হবে যেন বারে বারে কাজ করতে না হয় টাকা নষ্ট না হয় মানুষের কষ্ট ভোগান্তি না হয় সকল অফিসে যেন অনিয়মদুর্নীতি সিন্ডিকেট না হয়কঠোর আইন করে সকল সরকারি স্বায়ত্তশাসিত প্রশাসনের হাসপাতালে খেলাধুলা কমিটি যেন কোন অনিয়মদুর্নীতি দেশ ও দলের নাম বিক্রি করে জনগণের দুর্ভোগ টাকা লুটপাট অবৈধভাবে দখল চাঁদাবাজি যানজট সৃষ্টি করা ব্যাংক লুটপাট করা দাম বাড়ানো মাদক নেশা করলে শিক্ষা নিয়ে রাজনীতি ব্যবসাচিকিৎসা খাদ্য জনগণের সেবা নিয়ে ছয়নয় উপর থেকে নিচ পর্যন্ত সিন্ডিকেট মাধ্যমে চুরি অসত্য আশ্বাস বাহানা দিয়ে অনিয়মদুর্নীতির স্বজনপ্রীতি করতে না পারেকেউ যেন হয়রানি পেরেশানি ভোগান্তিতে না ভোগেতিন দল বিশিষ্ট কমিটি বদলি সাময়িক বরখাস্ত না করে সরাসরি তিন প্রজন্ম যেন কোন চাকরি না পায়সুন্দর ভাবে সাজাতে হবে যারা নিয়মকানুন শৃঙ্খলা আইনকানুন ময়লা অর্বজনা নোংরা করবে নিয়ম ভাংঙবে তাদের কঠিন শাস্তি দিতে হবে সকল উন্নয়নমূলক কাজগুলো বড় ছোট কাঠামো অবকাঠামো কাজ গুলো সেনাবাহিনীর ইন্জিনিয়ার সাথে পরামর্শ করে বা তাদের দায়িত্ব দিয়ে কাজ করতে হবে সকল সরকারি স্বায়িত্বশাসিত প্রশাসনের খেলোয়াড়দের কমকর্তা বাধ্যতামূলক সেনাবাহিনীর প্রশিক্ষণ নিতে হবে ৫ মাস আগে দেশ প্রেমিক শিক্ষা তারপর দেশের অসহায় গরীব দুখী মানুষের যন্ত্রণা বুঝে সেবা কাজ করা সকল অপরাধ অনিয়মদুর্নীতি সকল অপকর্মে তদন্ত র্যাব সদস্য দিয়ে করাতে হবেঅন্য কোন সদস্য দিয়ে নয় কেননা যারা তদন্ত করে তারাও জড়িত অনিয়মদুর্নীতি ঘুষের সাথেদেশ প্রেমিক হয়ে সততা সাথে ভবিষ্যতে প্রজন্মের কথা ভেবে সকল কাজ আধুনিক টেকসই মানের সেবা কাজ করতে হবে	None
117	উগ্র মৌলবাদী গোষ্ঠী হামাস কে নিচিন্হ করা পৃথিবীর সকল দেশের দায়িত্ব	Religious Hate
118	যদিও মর্মান্তিক ঘটনা তবে এস আলমের পাপের শাস্তি এটা ব্যাংক লুট মানি লন্ডারিংয়ের টাকা এগুলা তো হালাল টাকা না পাপ পাপের বাপকেও ছাড়ে না সৃষ্টিকর্তা ছাড় দেন কিন্তু ছেড়ে দেন না এটাই তার প্রমান সৃষ্টিকর্তার কাছে দোয়া করি সকলকে হেফাজত করুন	Religious Hate
119	এই ঘটনা কাম্য না	None
120	হায়রে পিএসজি যাকে আগের বছর পা চেটে ক্লাব থেকে যেতে দিল না এবং ক্লাবের লিডারশীপও যাকে দেওয়া হয়েছিল সেই কচ্ছপই এখন তোমাদের পায়ে কুঠার মারল এর থেকে যদি মেসি নেইমারকে এরকম সম্মান দিতে তাহলে আজকে এমন দিন দেখতে হতো না	Abusive
121	নবীর দেশে কিন্তু আবুজাহেল ও ছিল এটা ভুলে গেলে চলবে না	None
122	নাইস মানুষিক কষ্ট মানে বোঝে না	None
123	তানভীর সাহেব কি গানের গলা আপনার	None
124	আন্দামান সাগরে ভাসমান রহিঙ্গা মুসলিমদের কে আশ্রয় দেওয়ায় ইন্দোনেশিয়ার সরকার কে প্রাণঢালা অভিনন্দন ও শুভেচ্ছা জানাচ্ছি	None
125	বাংলাদেশে বাবার নামে পরিচয় দেয়তেমনি আপনার বাবা আমি যা জানি তিনি ছিলেন এক জন্য বিঞ্জানী তাহলে আপনে ও বিঞ্জানী হলে ভালো হতো	None
126	ভিডিও তে সাউন্ড ৫ বিজ্ঞাপনের সাউন্ড ৯৫	None
127	বেটির বিচার হোক আকাম কইরা আসছে বিচার চাইতে আগে কার বা ফালাইছো তুমি ফাসি দিতে যাও নি গেছো অভিনয় করতে যদি ফাসি দিতেই যাইতা তাইলে আর মরার আগে কেউ জানতো না শিয়ালতো মুরগীকে খাওয়ার জন্য কতই অভিনয় করবে তারজন্য কি বোচাকোদা মুরগী শিয়ালের অভিনয় বুঝবে না এখন আরেকজন রে কবুল বল	Profane
128	আমরা শুনেছি বি এন পির নেতারা আওয়ামী লীগের কাছে থেকে টাকা খেয়ে বিক্রি হয়ে গেছে যার কারনেই আন্দোলন গড়ে তুলে না নেতারা ঠিক ই সুখে শান্তিতে বসবাস করছে শুধু তৃণমূল পর্যায়ে সাধারণ কর্মিরা ​আক্রমণ মামলায় ধ্বংস হয়ে যাচ্ছে শুধু টাইম পাচ করতেছে নেতারা	None
129	এক মিনিটের সংবাদের মধ্যে আবার এড শালারা মানুষ হইল না	Profane
130	শিক্ষা মন্ত্রী দীপু মনিকে সরানো উচিত কারণ শালী বাংলাদেশের শিক্ষা উল্টিয়ে পাল্টিয়ে শেষ করে ফেলছে	Profane
131	আপনারা তো ডিম নিয়ে পরে আছেন ফিটের দাম তো কমে না আপনারা তো টিপিতে দেখান না	None
132	বাল করবে বালের ম্যালায় জাইয়া দেশের সোগাতো মারা সারা	Profane
133	আমার বাকশালি আপা গো পিটে ছালা বান্দ্ব সময় নাই	Political Hate
134	চুরের অধীনে কোনো নির্বাচন করতে দেয়া হবে না	Political Hate
135	অবরোধ চলাকালে গাড়ি না বের করা অনেক ভালো	None
136	এ শলায় মেয়ে লোকের দালাল শাকিব খান	None
137	বাংলাদেশে কবে হবে এমন	None
138	জয় কবে থেকে নায়ক কোন দেশের নায়ক	None
139	শালায় এক নাম্বার বাটপার	Abusive
140	এসব মনে রাখেন একদিন এসবের জবাব দেওয়া হবে	None
141	খাগড়াছড়ির ও বান্দর বোন এর মধ্যে বড আকারের ইটের কারখানা তৈরি করা এবং রড সিমেন্ট পাথর এর কারখানা তৈরি করা হোক তৈরি করা একান্ত দরকার বাংলা দেশের জন্য জরূরী ভিত্তিতে দরকার	None
142	লেজ গুটিয়ে দৌড় দেওয়ার অভ্যাসটি বেশি	None
143	কই থেকে আসলেন	None
144	উস্কানি দিয়ে পিছ পা হবে এটাই এট ধর্মকিছুদিন পর দেখবেন আর কোনো সাহায্য দিচ্ছে না	Abusive
145	গত কাল সারাদিন বৃষ্টিতে কাজ করে জ্বর আইসে	None
146	ভাই ব্যারিষ্টার মানুষ বলতে ডর লাগে তবু ও না বললে হজম হইতেছে না দেশের ভবিষ্যৎ দেখে ভাইয়ের বাকি চুল গুলো থাকবে তো	None
147	ভাই লাইক চাই	None
148	কতৃপক্ষের দৃষ্টি আকর্ষণ করছি সংবাদের মধ্যে এতো এড আসে কেন	None
149	আমি যেতে চাই কিসের মাধ্যমে যাবো বলবেন প্লিজ	None
150	কথা শুনে মনে হয় এখনও সাইকেল চালায় নি কিন্তু আমি শিউর বাস ট্রাক এরোপ্লেন সবই চালিয়েছে	None
151	অসত্য মামলা দিয়ে বেশিক্ষন আটকে রাখতে পারবেনা সত্যের জয় নিশ্চিত হবে ইনশাসৃষ্টিকর্তা	None
152	সৃষ্টিকর্তা আমাদের তৈরি করেছেন	None
153	জুতা মার হালা তদন্ত কমিটি তিন দিন পর গেছে তদন্ত করতে নাটক বাজ জারু বারি মারা দরকার তিন দিন পর ওখানে গেছে তদন্ত করতে শালা নলা	Profane
154	আমার মনে হয় রাশিয়ার এই প্রস্তাব ফিরিয়ে দেওয়া ভুল হবে এই প্রস্তাব মেনে নিয়ে বাংলাদেশের জনগণকে বাচাও তোমরা	None
155	সৃষ্টিকর্তা তুমি ছার দেও ছেরে দেও না	None
156	গালিগালাজ ছাড়া নগ্নতা ছাড়া কিভাবে নাটক হিট করা যায় সেটা আশফাক নিপুন প্রমান করেছেন	None
157	সময় টিভি সবসময় অস্বাভাবিক আমরা জানি হালুয়া রুটির গল্প	Abusive
158	বিরিজের ভিতরে রড এর পরিবর্তে বার দিয়েছে আপনাকে কৃতজ্ঞতা দিতেই হয়	None
159	এই বেটি বাংলাদেশ মুসলিম দেশ আর তুমিতো নামধারী মুসলমান	Abusive
160	আওমিলিগ এর সময় সেস জনোগনের বাংলাদেশ	Political Hate
161	একেই বলে মানবতা ভবিষ্যৎ রাজনীতি যেন এমন হয় এই আশাই করি	None
162	এতো পজিটিভ একজন মানুষ অপুঅনেক শক্তি পেলাম ওর কথা শুনে	None
163	যে যায় বলুক ট্রাম্প একজন ভালো মানুষ	None
164	পৃথিবীতে একটা মানুষ যার লজ্জা নাই শরম নাই সেটা আছে শেখ হাসিনা	Abusive
165	আইন টাত আপনারা বানাইছেনবাংলাদেশর আইনে বাংলাদেশর নাগরিকের অধিকার নাই	None
166	সঠিক তদন্তের মাধ্যমে অপরাধীদের বিচার করা হোক	None
