id	text
2019	সত্যকে বিজয়ী ও মিথ্যাকে কলুষিত করার কঠোর মন্ত্রে সর্বদা অটল থাকুন এই শুভকামনা দাদা।
2020	ধুরো মিয়া,, বেটির বিয়ে হয় না এমনিতেই এখন আর কেউ ছেলেও দিবে না 
2021	ছেলে তো অনেক দূর এখন বুড়াও জুটবে না
2022	হিজরা ধরাই দেন,,
2023	ধন্যবাদ  দাদা আপনাকে
2024	পিনাকী দা কুয়েট নিয়ে কথা বলেন  এখানে  শিক্ষক  ছাত্র  সব  ধংস হয়ে যাচ্ছে
2025	ইনকিলাব জিন্দাবাদ বিজয় আমাদের হবেই পার্থক্য শুধু একটু সময়ের জন্য অপেক্ষা করতে হবে ইনশাআল্লাহ ইনকিলাব জিন্দাবাদ।
2026	দাদা অসংখ্য ধন্যবাদ দাদা
2027	চমৎকার কথা
2028	বিগত 16 বছর আওয়ামী লীগের থেকে সুবিধা ভোগ করেছে এই রুমিন ফারহানা। রুমির ফারহানার কথা শুনে মনে হয় এরশাদের সাথে পুরোপুরি মিল আছে
2029	ওকে দাদা চালিয়ে যান
2030	ধন্যবাদ দাদা, এক্কেবারে কড়া ছিল এপিসোডটা
2031	ওর কথাবার্তা শুনে কয়েক দিন যাবত অন্তরে জ্বলতেছিল দাদার এপিসোড থেকে শান্তি লাগলো
2032	দাদা আপনাকে অনেক ধন্যবাদ রুমিন ফারহানার মুখের খুলে দেওয়ার জন্য
2033	দাদা মনে রুমিন ফারহানার প্রেমে পড়ে গেচে, এতো ভদ্র ভাসাই বোলার কি আছে,
2034	ধন্যবাদ স্যার
2035	এই তিন ইঞ্চির এতো পাওয়ার।এই তিন ইঞ্চির লোড কেউ সামলাতে পারে না 
2036	ধন্যাবাদ দাদা।
2037	কি অসাধারণ উপস্থাপন ধন্যবাদ দাদা
2038	অসংখ্য ধন্যবাদ পিনাকে দাদাকে
2039	ভাই আপনার কথা গুলা অনেক মজা করে বলেন,শুনতে বেশ ভালোই লাগে, আপনাদের  কারণে আমরা সত্যি কারে কাহিনী বিস্তারিত জানতে পায়, চালিয়ে জান আমরা আপনাদের পাশে আছি।
2040	পিনাকি দাদা আপনাকে ধন্যবাদ
2041	জাস্ট আগুন! এনার ভিডিয়ো যত দেখি ততই অবাক হই, মুগ্ধ হয়ে না টেনে শুনি সব। তোর কোন কোন জায়গায় ব্যথা গো বান্ধবী ললিতা! সেই ছিলো।  ইনকিলাব জিন্দাবাদ।
2042	কথাগুলো ভালই লাগলো আলহামদুলিল্লাহ
2043	স্যার আপনি    সত্যিই  একটা যোদ্ধা । সালাম রইল।
2044	চমৎকার এপিসোড  দেরিতে হলেও ,এদের জন্য বিএনপি'র জনপ্রিয়তা অনেক কমে গেছে  ইনকিলাব জিন্দাবাদ
2045	দাদা সেলুট আপনাকে 
2046	এই মহিলা একটা নষ্টা এ বিএনপিকে ডুবানোর জন্য কাজ চালিয়ে যাচ্ছে এ একা না এর সাথে আরো অনেক বিএনপির নেতারা জরিতো আছে তা ও বড়ো বড়ো নেতারা জরিতো আছে আমি মনে করি
2047	উফ.... দাদা শান্তি শান্তি।
2048	এতো সুন্দর করে মানুষের অপকর্ম সুন্দর ভাবে তুলে ধরনে আমাদের বুঝতে অনেক সুবিধা হয়
2049	ধন্যবাদ পিনাকী স্যার
2050	রুমিন আসলেই মদি আর হাসিনার পোডাক্ট
2051	মাননীয় প্রধান উপদেষ্টা মহোদয়ের দৃষ্টি আকর্ষণ যশোরের ভ্যান চালকের মেয়ে মীমের ভর্তি নেয়নি গোপালগঞ্জ বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়!!!  মীম আখতার শিখা গোপালগঞ্জ বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়ের ভর্তি পরীক্ষায় চান্স পায়। ভ্যানচালক পিতার মেধাবী কন্যা মিম চান্স পেয়ে পিতার স্বপ্নকে পূরণ করতে খুব চড়াই উৎরাই পেরিয়ে এই বিশ্ববিদ্যালয়ে ভর্তির সুযোগ পান। রেজাল্টের পর অনলাইনের মাধ্যমে ভর্তির টাকাও পরিশোধ করেন। টাকা পরিশোধ করার পরে কাগজপত্র জমা দেয়ার সময়সীমা ১/৭/২৫ইং উল্লেখ ছিল কিন্তু মিম ও তার পরিবার ভুলক্রমে বোঝে যে জুলাইয়ের ৭ তারিখে কাগজপত্র জমা দেয়ার নির্ধারিত তারিখ। এই ভেবে গত ৭ তারিখে টাকা ধার দেনা করে ও ভ্যান চালিয়ে পাওয়া টাকা নিয়ে যশোর থেকে গোপালগঞ্জের উদ্দেশ্যে রওনা দেন এবং বিশ্ববিদ্যালয়ে কাগজপত্র জমা দিতে চান কিন্তু বিশ্ববিদ্যালয় কর্তৃপক্ষ মিমের কাগজপত্র জমা নেননি। এবং মিমের সাথে বিশ্ববিদ্যালয় কর্তৃপক্ষ যোগাযোগও করেননি। এ অবস্থায় হতাশ হয়ে যশোরে ফিরে আসেন মীম ও তার ভ্যানচালক পিতা। সামান্য এই ভুলের জন্য মীমের বিশ্ববিদ্যালয় ভর্তির সুযোগ কি বঞ্চিত হবে? মীমের স্বপ্ন পূরণ হবে না?  মীম বিশ্ববিদ্যালয় ভর্তির বিষয়ে সহযোগিতা চান। অসহায় মেয়েটির পাশে দাঁড়ানোর জন্য সবাই একটু শেয়ার দিন ,যাতে প্রধান উপদেষ্টার নজরে আসে বিষয়টি!!
2052	রুমিন ফারহানা বিয়ে হয় নি কিন্তু শারীরিক ব্যাবসা করে
2053	এটা কি করলো  পিনাকী দাদা  !?  সবাইতো জেনে গেলো তার সাথে রাতে ১ জন লাগে !  এখনতো  রুমিন ফারহানা রাতের রেট আরো বাড়িয়ে দিবে.. 
2054	দাদা এবার ঠিক আছে  মাগী মনে হচ্ছে..... তৃপ্তি পাবে
2055	তোর কুন কুন জায়গায় ব্যথা গো বান্ধবী ললিতা 
2056	দাদার সাথে আছি
2057	র সালাউদ্দিন, ফজু পাগলা, রুমিন ফাহানা আর গোলাম ময়লা রনি বাংলার  মীরজাফর। বিএনপির ঘরের ইদুর বেড়া কাটে। তারেক জিয়ার উচিত এদের ফুটবলের মত লাতি মেরে বিএনপি থেকে বের করে দেওয়া।
2058	ওদেরকে বের করে দিলে  লন্ডনে আরামআয়েশে থাকার খরচ কে পাঠাবে..? 
2059	বিএনপি'র কিছু লোক দাদাকে দেখতে পারে না এখন,তারা আগে  অনেক ভালোবাসতো, উচিত কথা বললে মা ও সন্তানকে দেখতে পারেনা
2060	সেই হয়েছে দাদা স্যালুট 
2061	সত্য কথা তুলে ধরার জন্য ধন্যবাদ দাদা।
2062	রাইট অসাধারন দাদা!
2063	বাংলাদেশের সামরিক শক্তি দ্রুত বৃদ্ধি করা এখন সময়ের দাবী।
2064	দাদা রঙিন ফারহানা কি বিয়ের প্রস্তাব পেলে খুশি হবেন! তাহলে আমি সেই ব্যবস্থা করে দিব, তবুও তাকে ভালো হয়ে যেতে বলেন। 
2065	পিনাকিদা, আপনার মন্তব্যের অপেক্ষায় রইলাম। 
2066	রুমিনের নিচতলা  ভাড়া দিয়া ইনকাম বেশি হয়   বিয়ের কি দরকার!?
2067	ধন্যবাদ আপনাকে সত্তকে তোলে ধরার জন্য।  এইটা সত্যি যে দেশের অন্যতম ভন্ড লোক এখন রুমিন ( মমতাজ) ফারহানা 
2068	আন্দোলনের সময়ে রুমিন ফারহানাদের অবদান কি ছিল মানুষ ভাল করেই জানে। আর পিনাকী ইলিয়াসরা ঘুমহীন ভিডিও বার্তা দিয়ে মানুষকে জাগ্রত করেছে। ইনকিলাব জিন্দাবাদ।
2069	ধন্যবাদ পিনাকি দাদা কে
2070	বুনি ফারহানা কে দৌলতদিয়ার এম পি বানানো হউক 
2071	আমরা গর্বিত বগুড়াবাসী গর্বিত বাংলাদেশী এমন একটা পিনাকি দা পেয়ে
2072	দাদা, ইশ!  কি যে মজাটা পাইলাম?
2073	”র” এজেন্ট শেখ রুমিন ফারহানার দুই গালে - জুতা মার তালে তালে
2074	32 নম্বর ভাঙ্গাতে রুমিন ফারহানা অনেক কষ্ট পেয়েছে,  কিন্তু আ: লীগের আমলে খালেদা জিয়ার বাড়ি ভাঙলো তখন তার কষ্ট লাগেনি।
2075	বিএনপির নেতা গুলা নির্লজ্জ এগুলার শরম নাই।
2076	এই মহিলা বেয়াদপ। ইউনূস স্যার না বলে বলতেছে ইউনূস
2077	বিম্পি তোমগের এবার ভোটে জেতা লাগবেনা, আমরা জনগণ দেখমু এবার বিম্পি ভোট ক্যমনে পায়
2078	দাদা ভালোবাসা নিবেন
2079	ব্যারিস্টার রুমিন ফারহানা নিষ্প্রয়োজনীয় অনেক কথা বলে বিএনপির অনেক ক্ষতি করেছে, তারেক জিয়াকে তার সম্বন্ধে ভালোভাবে জানতে হবে ।
2080	দাড়ি পাল্লায় দিলেে ভোট শান্তি পাবে দেশের লোক।
2081	রুমিন কে ফজুর সাথে বিয়ে দেওয়ার জন্য অন্তর্বর্তীকালীন সরকার কে আকুল আবেদন জানাই
2082	আপনার মত  লোক অন্তত বাংলাদেশের ভালো চান না যে একটা নারীকে সম্মান করতে পারে না তাকে আমি আপনার মত পেনাকা বয়কট করলাম আপনার তো সো আমি নিয়মিত দেখতাম বাট আপনার কাছ থেকে শেখার কিছুই নাই আপনি শুধু কিছু টাকার জন্য সোশ্যাল মিডিয়ায় এগুলো বলে বেড়ান জীবনে অনেক টক শো দেখলাম আপনাদের মত কিছু একটু চ্যানেল এসব লোকদের কারণে আমাদের বাংলাদেশ আজকে মোব কালচারে পরিণত হয়েছে আপনি আজকে যাকে নিয়ে কথা বলছেন তাকে আমি ভালো মানুষ হিসেবে বিবেচনা করি আপনার মত লোক আমার বাংলাদেশের উপকারের জীবনে আসবে না সেটা আমার বোঝা শেষ অতএব আপনার এগুলা দেখে মানুষ দিন দিন মপ সৃষ্টি হয় সমাজে এরকমই জিনিস কে আমি প্রাধান্য দেই না অতএব আপনাকে আমি বরকত করলাম বাংলাদেশ জিন্দাবাদ আপনার কাছ থেকে শেখার কিছুই নেই
2083	ভাই আপনি একটা মাল,,,  এডিটর সাহেব  পিনাকী দাদা উপরে 'আপনি একটি মাল' ছাপ্পা মাইরা দেন তো। 
2084	মমতাজের বিএনপি ভার্সন।
2085	নির্বাচনের আগে রুমিন ফারহানার বিয়ে চাই  ।
2086	দাদা... তো সব গোমর ফাঁস করে দিলো  বাহ! দাদা বাহ
2087	ধন্যবাদ দাদাকে
2088	পিনাকী দা কুয়েট নিয়ে কথা বলেন
2089	পিনাকী দা কুয়েট নিয়ে কথা বলেন
2090	পিনাকী দা কুয়েট নিয়ে কথা বলেন  ছয়মাস লেখাপড়া বন্ধ করে রাখছে হাজার হাজার ছেলেমেয়েরা ধংস হয়ে যাচ্ছে   শিক্ষকেরা৷ মানসিক  ভাবে  সমস্যায়পড়তেছে
2091	পিনাকী দা কুয়েট নিয়ে কথা বলেন
2092	পিনাকী  দা কুয়েট নিয়ে কথা বলেন
2093	পিনাকী  দা  কুয়েট নিয়ে কথা বলেন  ছয়মাস৷ বন্ধ কেন
2094	বিএনপি আওয়ামীলীগ এর ভোটার টানতে চাচ্ছে? আমার মতো হাজারো জন্মগত বিএনপির সাপোর্টার ভারতীয় নব্য দালাল বিএনপির পাছায় লাথি দিয়ে বেম্পি ছেড়ে বিকল্প খুঁজে নিয়েছে
2095	দাদা চমৎকার বিশ্লেষণ করেছেন।
2096	একটা হারামজাদি ছুরি রুমিন
2097	হালার এটা কোন কালার ওস্তাদ এটা কি বাঁশ দিলেন নামটা কন ,,,নির্বাচন ডা রুমিন ফারহানার বিয়ে হয়ে যাক 
2098	যা শুরু করছে বিএনপি, একদিন বিএনপিকে ও দেশ ছাড়া করতে পিনাকী দাদা আন্দোলনের ডাক দিতে হবে অপেক্ষায় থাকেন। গতকাল দেখলাম হাইব্রিডদের দিয়ে আমার উপজেলা কমিটি মিটিং করছে। ত্যাগিদের কোন মূল্যায়ন করছে না। যা খুবই দুঃখজনক।
2099	তোর কি ভাতার লগে ইন্ডিয়া ? দুঃখের কথা বলা মাড়াইতেসো ?
2100	মনের শান্তি লাগে বন্ধু রুমিন বেহায়া বেলাজা একটা খাচ্চর নোংরা ঘৃণিত লীগের রাতের খাবার কে  এইভাবে সবকিছু তুলে ধরে ল্যাংটা করে দেওয়ার জন্য ধন্যবাদ অসংখ্য
2101	দাদা এতদিন পরে আমার মনের আরজি টা পুরন করলেন
2102	এই মহিলাটা বিএনপিকে ধ্বংস করতেছে
2103	রুমন ফারহানা ইন্ডিয়ার পারপাস সার্ভ করছে বিএনপি কে ব্যাবহার করে
2104	এটা কি করলো পিনাকী  দাদা  !?  সবাইতো জেনে গেলো তার সাথে রাতে ১ জন লাগে   এখনতো  রুমিন ফারহানা রাতের রেট আরো বাড়িয়ে দিবে.. 
2105	ইনকিলাব জিন্দাবাদ
2106	এতদিনে কাজ একটা হলো দাদা
2107	বিএনপিকে সবাই বয়কট করুন
2108	এই মহিলা আমার চোখের দেখা সবথেকে বড় মুনাফিক গাদ্দার
2109	রুমিন রা তো মনে করে বসেই আছে,ওরা ক্ষমতায় চলে গেছে
2110	দাদা, গোলাম মাওলা রনি আর রঙিন ফারহানা কি কোনোভাবে স্বামী-স্ত্রী কিনা। বাস্তবিক জীবনে না হলেও রাজনৈতিক প্রেক্ষাপটে এরা দুজন স্বামী স্ত্রী হতেও পারে   একটু খোঁজ নিয়েন ।
2111	এটা কি করলো  পিনাকী দাদা  !?  সবাইতো জেনে গেলো তার সাথে রাতে ১ জন লাগে !  এখনতো  রুমিন ফারহানা রাতের রেট আরো বাড়িয়ে দিবে.. 
2112	যে টকশো তে চাপাবাজী করে চলে তার আবার সম্মান
2113	এটা কি করলো  পিনাকী দাদা  !?  সবাইতো জেনে গেলো তার সাথে রাতে ১ জন লাগে !  এখনতো  রুমিন ফারহানা রাতের রেট আরো বাড়িয়ে দিবে.. 
2114	আরে রুমিন ফারহানা যে স্টার-জলসার সদস্য,,,, ২ সমান ২ মিলে গেলো।
2115	রুমিন ফারহানা আওয়ামী লীগের পা চাটা শুরু করছে একটু শান্তিতে পা চাটতে দেন
2116	আমি কোনো দলের সাপোর্ট করি না, বাট বুঝি যে এই পিনাকী একটা বদমাইশ ও ভেজাল ওষুধের প্রস্তুত কারক
2117	রুমিনকে খাইয়ে দিলেন 
2118	পিনা কি দাদা এই রুগি ফারানা আওয়ামী লীগের সাথে জোকস সাজস করে নির্বাচন করেছিল তারেক রহমান সাহেব নিষিদ্ধ করার পরও এমপির পথ গ্রহণ করে ভারপ্রাপ্ত প্রেসিডেন্টের কথাও অমান্য করেছিল একে দল থেকে  বহিষ্কার করা দরকার
2119	শেখ রুমিন রহমান
2120	বিএনপিকে জুরা মারি
2121	আওয়ামীলীগ এর শিকড় অনেক গভীরে প্রোথিত আছে। দীর্ঘমেয়াদি পরিকল্পনার মাধ্যমে উৎপাটন করতে হবে।
2122	এই  দেশ ধ্বংসস করে দেবে
2123	রুমিনকে দেখতে শেখের অরিজিনাল মেয়ে মনে হচ্ছে এখানে
2124	কিসের নির্বাচন ! বিডিআর এর 57 জন কমান্ডিং অফিসারকে হত্যা করা হয়েছে আওয়ামীলিগের সহযোগীতায়, আমার ভোটের অধিকার হরন করেছে আওয়ামীলিগ, দেশের টাকা চুরি করে বিদেশে পাচার করেছে আওয়ামীলিগ, হাজার হাজার দেশবাসীকে গুম খুন করেছে আওয়ামীলিগ, , 36শে জুলাই এর আগে-পরে  গনহত্যা করেছে আওয়ামীলিগ, বিভিন্ন হত্যাকান্ডের বিচার ছাড়া দেশে নির্বাচন হবে না” – যারাই বিচারের আগে নির্বাচনের পঁয়তারা করবে, তারাই জাতীয় শত্রু হিসেবে চিহ্নিত করা হোক। তাই বিচার হবে, আওয়ামীলিগ ফুল (সম্পূর্ন) নিষির্দ্ধ হবে, তারপরে নির্বাচন ! এ-ই জিল-লু এরা কিসের নির্বাচন চায় ! পাঁচ বছর আগে কোন নির্বাচন নয়, ব্যবস্থা নে !
2125	36শে জুলাইতেই 32 নং বাড়ীর প্রতিটা ইট খুলে নেওয়া হলে দিনটির পূর্নতা পেতো । এই বাড়ীকে কেন্দ্র করে ভারতীয় গেয়েন্দা সংস্থা ‘র’ আবার তার কার্যক্রম শুরু করবে । তাই দ্রুত এই বাড়ীর প্রতিটা ইট খুলে নেওয়া দরকার দেশের স্বার্থে , দেরী হলে দেশের বিপদ আছে , মাসুদ কামাল , রুমিন ফারহানা, ফজলুর রহমান আপনাদের গা জ্বলে ক্যা , ভাংগা হয়েছে, ঠিক হয়েছে, 36শে জুলাই এর পূর্নতা পেয়েছে !!!
2126	যে ছবিটা এডিট করছে তারে জাতীয়ভাবে পুরস্কৃত করা উচিত
2127	দাদা নির্বাচন আসার আগেই সব মুখোশ দারী ভারতীয় দালালদের জাতির সামনে উন্মোচিত করে দিন। ভবিষ্যতে জাতি যেন বিশ্বাসঘাতকদের চিনে ভোট দিতে পারেন। ভালবাসা নিরন্তর। ইনকিলাব জিন্দাবাদ।
2128	রুমিন ফারহানার চেহারা বঙ্গবন্ধু বঙ্গবন্ধু লাগছে।
2129	। আগে রুমিন ফারহানার বিয়ে তারপরে নিবার্চন
2130	অনেক গুরুত্বপূর্ণ তথ্য জানতে পারলাম
2131	প্রশাসন এবং আরো উচ্চতা কর্মকর্তা বলবে রুমি ফারহানা ভারতের গোয়েন্দা সংস্থার লোক কিনা বাংলাদেশের উচ্চতম কর্মকর্তা ডি জে তদন্ত করা উচিত সে শুধু আওয়ামী লীগের লোক না সে ভারতের এজেন্টে বাস্তবায়ন করতাছে ইরানের মতন বাংলাদেশ এমন অভিযান চালানো উচিত দাদাকে বলবো আপনি তার ডিটেলস দেন এবং গোয়েন্দা সংস্থা তার পিছে তন্দ করা হোক বাংলার মাটিতে ভারতে গোয়েন্দাগিরি চলবে না
2132	নির্বাচন এখন চাই না
2133	বাংলাদেশ জামাত ইসলাম
2134	ভুলে আইসা গেছে তুক্কু 
2135	বিএনপিকে কেন সরকার থেকে পিটিয়ে নামানো হয়েছিল জনসম্মুখে উন্মোচন করা উচিত
2136	বাংলার প্রত্যেকটা সচেতন নাগরিকের প্রতি আমার অনুরোধ। আমরা আর কোন স্বৈরাচার চাঁদাবাজ দুর্নীতিতে বারবার চ্যাম্পিয়ন সন্ত্রাসীদেরকে আর আমাদের মূল্যবান ভোট দিব না ইনশাআল্লাহ
2137	রুমিন ফারহানা অনেক জনপ্রিয় নেতৃত্বে একজন নারী। তার জনপ্রিয়তা আকাশচুম্বী সুদর্শন কন্ঠে অধিকারী।। কিন্তু আমি রুমিন ফারহানার এই রকম বক্তব্যে কে সাপোর্ট করি না। আমি রুমিন ফারহানা কে উনরোধ করবো এই রকম বক্তব্যে থেকে সঃযোতো হোও।
2138	দাদা, রুমিনরে একটাবিয়ে দেওয়া জরুরী হয়ে পড়েছে,  বিয়ে না দেওয়া পর্যন্ত ওর মাথা ঠান্ডা হতিচে না। সবসময়  মাথা গরম থাকায় উল্টাপাল্টা বকে। ভালো একটা ইন্ডিয়ান ছাওয়াল দেখে ওরে বিয়ে দিয়া দেন 
2139	এতো দিন তো আওয়ামেলীগের টাকায় চলছেন, টাকা আসা বন্ধ হইছে বিধায় আপনাদের এতো জালা উঠছে, একটা কথা মনে রাইখেন সামনে বিএনপি কে ও নিষিদ্ধ করা হবে আমরা বাংলাদেশের জনতা ও তাই চাই । বাংলাদেশে আওয়ামেলীগ আর বিএনপির ৫৭ বছরের নোংরা রাজনীতি জনগন আর দেখতে চায় না। রুমিন ফারহানা আপনি ড.ইউনুস স্যার কে নিয়ে যা তা বলে গেছেন কিন্তু তবু তিনি কিছু বলেনি কারণ তিনি আপনার মতো সে সাইকো না টাকা খোর রুমিন ফারহানা। বিএনপির ভাইরাস একটা এই রুমিন ফারহানা,  বিএনপির মেন মেন বড় বড় নেতা কর্মিরা ১০ বছর ধরে আওয়ামেলীগ এর টাকায় ভাগ নিয়ে বসে বসে দিন পার করছেন আর এই জন্যই আওয়ামেলীগের জন্য এত মায়া লাগে তাদের।  আওয়ামেলীগ বিএনপি  সময় শেষ। নতুন দলের নতুন বাংলাদেশ দেখতে চায়  বাংলাদেশের মানুষ। আওয়ামেলীগ আর বিএনপি যাতে আর কোন দিন ও বাংলাদেশের মাটিতে রাজনীতি না করতে পারে সেই ব্যবস্থাই যেনো করে ড. ইউনুস স্যার । রুমিন ফারহানা কাউয়ার মতো চিৎকার করলেও আপনারে আর কেউ বিস্বাস করবে না। বিএনপি তিনজন নেতার কারণে আগামীতে আর বিএনপি আর ক্ষমতায় আসতে পাবে না। ১ নাম্বার মির্জা ফখরুল ইসলাম আলমগীর ২ ভারতের দালাল সালাউদ্দিন আহম্মদ ৩ রুমিন ফারহানা । এরা আওয়ামেলীগের খাষ পা চাটা কুত্তা ছিলো । উনারা ভাবতেন আমাদের নেতা তারেক রহমান দেশে আসতে পারে না  খালেদা জিয়ার পা কবরে ঢুকে গেছে একটা ছেলেকে মেরুদন্ড ভেঙ্গে মেরে ফেলা হয়েছে। বিএনপি কার উপর ভর করে উঠে দারাবে।  তার চেয়ে হাসিনা আপা আমাদেরযো যা অফার করেছে রাজি হইয়া যাই তা না হলে আমাদের বিএনপির  বাকি কর্মিদের অস্তিত্ব আজীবনের জন্য মুছে ফেলবে আওয়ামেলীগ । সেই ভয়ে ১৫ ১৬ বছর বিএনপির কেউ কোন কথা বলেনি। হাসিনা যা যা করছে মির্জা ফখরুল সাহেব তা মেনে নিয়ে ঘাপটি মেরে গাতায় ঢুকিয়ে বসে ছিলেন। মানুষ এখ অনেক আপডেট আপনাদের মতো সাইকো না ।  প্রতি মাসে আওয়ামেলীগের কোটি কোটি টাকা খেয়ে নিহজদের দলটাকে অনেক আগেই জয় বাংলা করে দিয়েছেন আপনারা । এখন আইছে নির্বাচন করতে আগামীতে আপনাদের নিষিদ্ধ করলে সব চেয়ে খুশি হবে বাংলাদেশের জনগন।
2140	দাদা কি ছবি বানাইছে
2141	ওর বিয়া চাই, নির্বাচন পরে।
2142	২য় মমতাজ হয়ে উঠতেছে রুমিন
2143	দাদা এমন করে কাউকে কিছু বলা কেমন জানি লাগে
2144	সমগ্র বাংলাদেশে সামরিক আইন মার্শাল ল জারি করে সেনাবাহিনী নামিয়ে দিতে হবে, অপরাধ,গুম, খুন, ধর্ষণ বাপ বাপ করে পালাবে, ঘরে ঘরে মা-বোন দুর্গ গড়ে তুলুন , জয় বাংলা !!
2145	আহহহ এত মজা কেরে??? সেই  স্বাদ গো দাদা
2146	গত ১৫ বছর টকশোতে আসা-যাওয়ার সময় শামীম ওসমান লিপ্ট দিত এখন তো আর উনি নাই
2147	নতুন কন্টেন্ট ক্রিয়েটরদের দেখতে চাই 
2148	রুমিন ফারহানারা হলো রাজনীতির বেশ্যা 
2149	পিনাকী ভাই কে
2150	রুমিন ফারহানা হলো আওয়ামী দালাল।
2151	যার নেই কোনো গতি সে করে রাজনীতি 
2152	ব্যারিস্টার রুমিন ফারহানা তার ব্যবহারের জন্য তাকে জয় বাংলা করে দেওয়া হোক। ইনকিলাব জিন্দাবাদ।
2153	ইনকিলাব জিন্দাবাদ।
2154	খুব ভালো দিয়েছেন!
2155	সেই হয়েছে দাদা!!  সেই হয়েছে!!!
2156	আগে বিএনপির মধ্যে রুমিন পরহানা কে ভালো মনে করতাম দাদা আজকে একেবারে ক্লিয়ার করে দিল ধন্যবাদ দাদা মুজিব কোটে  ভালো লাগছে শেখ রুমিন পরহানা
2157	এমন গঠনমুলক আলোচনা কেবল আপনার মাধ্যমেই সম্ভব। আপনার ভিডিওর অপেক্ষায় থাকি 
2158	কাকা আপনি সত্যিটা উন্মোচন করেছেন 
2159	ঠিক জায়গায় বাঁশ দিছেন ভাই
2160	মনের ইচ্ছা পূরণ করলেন দাদা
2161	উনি যে পারটেক্স এর এমডির কোলে বসে ছবি তুলছিলেন। সেটা দেখান ভাই
2162	সিল টা সেই লাগছে
2163	বিএনপি দলের পদ পেতে টাকা দিলেই হয়
2164	আগেই বলেনি সব থেকে ভালো লাগছে ডায়নিটার ছবি এডিটকরাটা  পিনাকী দাদাকে অসংখ্য ধন্যবাদ
2165	ইউনুস স্যার যদি এক ঘন্টার জন্য হাসিনার মুখুস পরে  নিত তাহলে রুমিন ফারহানের অবস্থা কি হতো মঞ্চে  ইউনুস স্যারের দুর্নাম করতে প্রার্থনা
2166	রুমিন ফারহানার আসল নাম হোল আওয়ামী লীগ বিএনপি লিওন উরুফে দালাল লিওন
2167	বাস টা একটু ভালো করে দিতেন দাদা এটা দিয়ে তো আর কিছুই হবে না প্রথম নির্বাচন ছাড়া কিছু বোঝেনা ওকে নির্বাচনের বদল বাঁশ দেওয়া দরকার
